category,delivered_orders,delivered_items,delivered_gmv_brl,freight_brl,average_order_value_brl,freight_to_gmv_ratio,on_time_delivery_rate,average_review_score
health_beauty,8647,9465,1233131.72,178957.81,142.60803978258355,0.14512465059288232,0.9103735399560541,4.229488819129559
watches_gifts,5495,5859,1166176.98,98156.14,212.225110100091,0.08416916272862804,0.914800655379574,4.121195452878621
bed_bath_table,9272,10953,1023434.76,201774.5,110.37907247627265,0.1971542377552234,0.9125323554788611,3.999291707529694
sports_leisure,7530,8431,954852.55,163404.36,126.8064475431607,0.17113046407008076,0.9224332580688006,4.227691691156826
computers_accessories,6530,7644,888724.61,143999.16,136.09871516079633,0.16202900018713334,0.9229591055291775,4.081243268195107
furniture_decor,6307,8160,711927.6900000001,168402.23,112.87897415570002,0.23654400912542115,0.9151736166164579,4.057987220447284
housewares,5743,6795,615628.69,142763.56,107.19635904579486,0.23189880900449913,0.9305241163155146,4.1944298476090385
cool_stuff,3559,3718,610204.1,81476.79,171.4538072492273,0.13352383243573748,0.9317223939308794,4.216935712262815
auto,3810,4140,578966.65,90488.1,151.95975065616798,0.15629242202465377,0.913888159621948,4.145833333333333
toys,3804,4030,471286.48,75774.58,123.89234490010514,0.16078241837109353,0.9247962135156456,4.238341282458929
garden_tools,3448,4268,470495.27999999997,96650.4,136.4545475638051,0.20542267714141574,0.9205336426914154,4.180863477246207
baby,2809,2982,400421.84,66305.81,142.54960484158065,0.16558989389789527,0.9081523673905304,4.103516325798349
perfumery,3086,3340,390144.65,53026.98,126.42406027219702,0.13591620441290173,0.9261179520414776,4.260890767230169
telephony,4093,4430,309860.23,69342.39,75.70491815294405,0.22378602765511407,0.9147324700708527,4.051855492750062
office_furniture,1254,1668,268154.31,67057.05,213.83916267942584,0.2500688875744716,0.9082934609250398,3.642684887459807
stationery,2264,2466,223788.69,45786.36,98.8465945229682,0.2045963985043212,0.9222614840989399,4.294757885384274
computers,177,199,218684.14,9665.62,1235.503615819209,0.04419899861050738,0.9265536723163842,4.224137931034483
pet_shop,1688,1924,211695.64,38918.56,125.41210900473935,0.18384204795148354,0.9372037914691943,4.273809523809524
musical_instruments,611,651,184315.74,17871.38,301.66242225859247,0.0969606827935585,0.911620294599018,4.234710743801653
small_appliances,609,658,182754.12,15354.35,300.0888669950739,0.08401643694817934,0.9376026272577996,4.256622516556291
unknown,1412,1559,175967.21,27386.63,124.62266997167139,0.15563484810607614,0.9093484419263456,4.003922967189729
electronics,2517,2729,155043.93,45679.159999999996,61.59870083432658,0.2946207568396905,0.9018673023440604,4.124499599679744
fashion_bags_accessories,1820,1985,149329.39,30558.9,82.04911538461539,0.20464089487005874,0.9335164835164835,4.242131419105466
consoles_games,1018,1089,148003.37,19094.36,145.38641453831042,0.12901300828487894,0.918467583497053,4.177898909811694
construction_tools_construction,736,916,142108.49,20273.52,193.08218749999997,0.14266227162078776,0.9089673913043478,4.125170998632011
luggage_accessories,1019,1077,138701.63,30076.49,136.11543670264967,0.2168430897315338,0.9450441609421001,4.370443349753694
home_appliances_2,227,231,107953.95,10254.57,475.5680616740088,0.09499022499871473,0.9295154185022027,4.150442477876106
home_construction,483,596,81407.57,13614.8,168.54569358178054,0.1672424321227129,0.9192546583850931,3.9854469854469854
home_appliances,747,754,78832.48,14469.3,105.53210174029451,0.18354490433384818,0.9330655957161981,4.216173835125448
agro_industry_and_commerce,177,206,70566.1,5637.2,398.6785310734464,0.07988538405835095,0.9491525423728814,4.107344632768362
furniture_living_room,414,495,67350.7,17694.37,162.68285024154588,0.26271991233944114,0.9154589371980676,4.070904645476773
home_confort,392,429,58008.450000000004,8429.77,147.98073979591837,0.14531969049336776,0.8954081632653061,3.887179487179487
fixed_telephony,212,255,55315.21,4501.33,260.92080188679245,0.08137599043734987,0.9481132075471698,3.9665071770334928
air_conditioning,246,289,53323.56,6530.99,216.76243902439023,0.12247850668635027,0.959349593495935,4.115702479338843
audio,348,362,50570.6,5684.72,145.31781609195403,0.11241155928543463,0.8706896551724138,3.8391304347826085
small_appliances_home_oven_and_coffee,72,73,46589.56,2656.34,647.0772222222222,0.057015777783692316,0.9305555555555556,4.430555555555555
kitchen_dining_laundry_garden_furniture,241,274,45531.98,11540.99,188.929377593361,0.25346997868311455,0.9543568464730291,4.125523012552302
books_general_interest,496,537,45302.15,8880.39,91.33497983870969,0.19602579568519374,0.9313131313131313,4.534552845528455
construction_tools_lights,242,301,39957.0,7490.14,165.11157024793388,0.18745501414020072,0.9090909090909091,4.150627615062762
construction_tools_safety,159,183,38773.22,3730.8,243.85672955974843,0.09622105154021256,0.9559748427672956,3.9746835443037973
industry_commerce_and_business,232,265,38498.81,7580.53,165.94314655172414,0.19690296920865866,0.9177489177489178,4.221739130434782
food,441,499,28731.15,7063.53,65.15,0.24584919155689902,0.9002267573696145,4.327231121281464
market_place,274,305,27795.77,5318.61,101.44441605839417,0.19134602135504789,0.9525547445255474,4.088235294117647
costruction_tools_garden,190,232,25096.28,5187.66,132.0856842105263,0.2067103172262981,0.9315789473684211,4.247368421052632
art,195,197,23657.3,3828.23,121.31948717948717,0.16182024153221206,0.9230769230769231,4.098445595854923
fashion_shoes,235,257,23001.46,4813.37,97.87855319148936,0.20926367282772484,0.9361702127659575,4.274891774891775
drinks,287,361,21529.84,5441.27,75.01686411149826,0.25273155768923505,0.9337979094076655,4.2369337979094075
signaling_and_security,138,197,21315.05,6477.54,154.456884057971,0.30389513512752725,0.9420289855072463,4.116788321167883
furniture_bedroom,90,103,19051.8,4327.42,211.68666666666667,0.2271396928374222,0.9222222222222223,4.2555555555555555
books_technical,256,263,18702.23,4198.84,73.0555859375,0.22451012526313707,0.890625,4.427450980392157
costruction_tools_tools,97,103,15903.95,2030.22,163.95824742268042,0.1276550793985142,0.9381443298969072,4.425531914893617
food_drink,221,269,14942.88,4394.89,67.61484162895927,0.2941126476288373,0.9366515837104072,4.4457013574660635
fashion_male_clothing,106,125,10452.33,2062.62,98.60688679245283,0.19733590500873968,0.9528301886792453,3.8190476190476192
fashion_underwear_beach,117,127,9305.95,1854.07,79.53803418803419,0.19923489810282666,0.8717948717948718,4.008620689655173
christmas_supplies,125,150,8737.84,3190.91,69.90272,0.36518292850406964,0.904,4.1138211382113825
tablets_printing_image,79,83,7528.41,1226.2,95.29632911392405,0.1628763576904021,0.9367088607594937,4.1558441558441555
cine_photo,63,70,6674.47,1227.71,105.94396825396827,0.18394119682911153,0.9206349206349206,4.333333333333333
music,38,38,6034.35,690.51,158.79868421052632,0.11442988888612692,0.9210526315789473,4.2105263157894735
dvds_blu_ray,56,61,4542.59,1227.25,81.11767857142857,0.2701652581456834,0.9285714285714286,4.196428571428571
party_supplies,38,42,4465.1900000000005,820.19,117.50500000000001,0.1836853526949581,0.9736842105263158,4.078947368421052
books_imported,50,57,4418.86,732.08,88.37719999999999,0.16567168907817856,0.96,4.44
furniture_mattress_and_upholstery,37,37,4323.38,1581.37,116.84810810810811,0.36577168789234343,0.8648648648648649,3.891891891891892
fashio_female_clothing,36,45,2634.94,583.5,73.19277777777778,0.22144716767744235,0.9444444444444444,3.9166666666666665
fashion_sport,26,29,2094.52,563.03,80.55846153846154,0.2688109924947004,0.9230769230769231,4.384615384615385
la_cuisine,13,14,2054.99,333.55,158.07615384615383,0.1623122253636271,1.0,4.25
arts_and_craftmanship,23,24,1814.01,370.13,78.87,0.2040396690205677,0.9130434782608695,4.173913043478261
diapers_and_hygiene,25,37,1500.79,545.4,60.0316,0.3634086048014712,0.96,3.96
flowers,29,33,1110.04,488.87,38.27724137931035,0.44040755288097727,0.9655172413793104,4.392857142857143
home_comfort_2,24,30,760.27,410.31,31.677916666666665,0.5396898470280296,0.8333333333333334,3.8260869565217392
cds_dvds_musicals,12,14,730.0,224.98999999999998,60.833333333333336,0.3082054794520548,1.0,4.666666666666667
fashion_childrens_clothes,7,7,519.95,78.72,74.27857142857144,0.15139917299740357,1.0,5.0
security_and_services,2,2,283.28999999999996,41.22,141.64499999999998,0.14550460658688977,1.0,2.5
