customer_state,delivered_orders,active_customers,delivered_gmv_brl,average_order_value_brl,on_time_delivery_rate,average_review_score,low_review_rate
SP,40501,39156,5067633.16,125.12365521838967,0.941052995505507,4.246550625315555,0.10642365853052914
RJ,12350,11917,1759651.1300000001,142.48187287449394,0.8652631578947368,3.965140720115743,0.18294979936123168
MG,11354,11001,1552481.83,136.73435177030123,0.9438964241676943,4.19246787771378,0.11705804164820559
RS,5345,5168,728897.47,136.36996632366697,0.9285179640718563,4.1857518302984795,0.11882860897315563
PR,4923,4769,666063.51,135.2962644728824,0.9500304692260817,4.239591836734694,0.1083673469387755
SC,3546,3449,507012.13,142.9814241398759,0.9024252679075014,4.133276499005399,0.1301506109690253
BA,3256,3158,493584.14,151.5921805896806,0.8596437346437347,3.930009290802106,0.17033137194177764
DF,2080,2019,296498.41,142.54731249999998,0.9293269230769231,4.133816425120773,0.13043478260869565
GO,1957,1895,282836.7,144.5256515074093,0.9182422074603985,4.10431654676259,0.13103802672147996
ES,1995,1928,268643.45,134.6583709273183,0.8776942355889724,4.079735906551549,0.13763331640426613
PE,1593,1551,251889.49,158.12271814187068,0.8920276208411801,4.082963901203294,0.1481950601646612
CE,1279,1258,219757.38,171.8196872556685,0.8467552775605942,3.941869599371563,0.17124901806755696
PA,946,922,174470.59,184.42979915433403,0.8763213530655392,3.909967845659164,0.1789924973204716
MT,886,856,152191.62,171.77383747178328,0.9322799097065463,4.146188850967008,0.12741751990898748
MA,717,700,117009.38,163.19299860529986,0.803347280334728,3.833567415730337,0.199438202247191
MS,701,681,115429.97,164.6647218259629,0.884450784593438,4.160228898426324,0.13304721030042918
PB,517,504,112586.82,217.76947775628628,0.8897485493230174,4.076171875,0.1484375
PI,476,464,84721.0,177.98529411764707,0.8403361344537815,3.9936305732484074,0.1613588110403397
RN,474,464,82105.66,173.21869198312237,0.8924050632911392,4.149681528662421,0.12951167728237792
AL,397,387,78855.72,198.6290176322418,0.760705289672544,3.8527918781725887,0.21065989847715735
SE,335,329,56574.19,168.87817910447762,0.8477611940298507,3.907185628742515,0.18862275449101795
TO,274,267,48402.51,176.65149635036497,0.8722627737226277,4.153846153846154,0.12087912087912088
RO,243,231,45682.76,187.99489711934157,0.9711934156378601,4.1652892561983474,0.11983471074380166
AM,145,140,22155.84,152.79889655172414,0.9586206896551724,4.243055555555555,0.13194444444444445
AC,80,76,15930.97,199.137125,0.9625,4.0875,0.15
AP,67,66,13374.81,199.62402985074627,0.9552238805970149,4.242424242424242,0.06060606060606061
RR,41,40,7057.47,172.13341463414633,0.8780487804878049,3.902439024390244,0.14634146341463414
